GEO_ID,NAME,S1401_C01_010E
54001,"Barbour County, West Virginia",1095
54003,"Berkeley County, West Virginia",6665
54005,"Boone County, West Virginia",735
54007,"Braxton County, West Virginia",245
54009,"Brooke County, West Virginia",1782
54011,"Cabell County, West Virginia",9256
54013,"Calhoun County, West Virginia",160
54015,"Clay County, West Virginia",181
54017,"Doddridge County, West Virginia",260
54019,"Fayette County, West Virginia",1699
54021,"Gilmer County, West Virginia",1025
54023,"Grant County, West Virginia",371
54025,"Greenbrier County, West Virginia",1131
54027,"Hampshire County, West Virginia",563
54029,"Hancock County, West Virginia",1257
54031,"Hardy County, West Virginia",249
54033,"Harrison County, West Virginia",2432
54035,"Jackson County, West Virginia",857
54037,"Jefferson County, West Virginia",4054
54039,"Kanawha County, West Virginia",8001
54041,"Lewis County, West Virginia",330
54043,"Lincoln County, West Virginia",486
54045,"Logan County, West Virginia",915
54047,"McDowell County, West Virginia",330
54049,"Marion County, West Virginia",3868
54051,"Marshall County, West Virginia",1062
54053,"Mason County, West Virginia",839
54055,"Mercer County, West Virginia",3375
54057,"Mineral County, West Virginia",1369
54059,"Mingo County, West Virginia",718
54061,"Monongalia County, West Virginia",23107
54063,"Monroe County, West Virginia",300
54065,"Morgan County, West Virginia",645
54067,"Nicholas County, West Virginia",895
54069,"Ohio County, West Virginia",3359
54071,"Pendleton County, West Virginia",128
54073,"Pleasants County, West Virginia",247
54075,"Pocahontas County, West Virginia",172
54077,"Preston County, West Virginia",871
54079,"Putnam County, West Virginia",2628
54081,"Raleigh County, West Virginia",3164
54083,"Randolph County, West Virginia",1038
54085,"Ritchie County, West Virginia",157
54087,"Roane County, West Virginia",355
54089,"Summers County, West Virginia",323
54091,"Taylor County, West Virginia",465
54093,"Tucker County, West Virginia",130
54095,"Tyler County, West Virginia",264
54097,"Upshur County, West Virginia",1551
54099,"Wayne County, West Virginia",2016
54101,"Webster County, West Virginia",189
54103,"Wetzel County, West Virginia",293
54105,"Wirt County, West Virginia",51
54107,"Wood County, West Virginia",3693
54109,"Wyoming County, West Virginia",383