GEO_ID,NAME,S1501_C01_021E,S1501_C01_024E,S1501_C01_027E,S1501_C01_030E,S1501_C01_054E,S1501_C01_005E,S1501_C01_012E,S1501_C01_015E
54001,"Barbour County, West Virginia",334,904,399,1845,27,109,1199,1881
54003,"Berkeley County, West Virginia",3645,5915,3099,14901,472,677,10900,16315
54005,"Boone County, West Virginia",343,434,363,1305,0,73,785,1354
54007,"Braxton County, West Virginia",290,702,348,1521,0,92,1094,1561
54009,"Brooke County, West Virginia",582,1315,820,3126,9,61,2005,3187
54011,"Cabell County, West Virginia",3209,5455,3634,15085,237,1803,9278,16322
54013,"Calhoun County, West Virginia",74,205,257,600,0,4,443,605
54015,"Clay County, West Virginia",155,181,108,574,6,86,384,586
54017,"Doddridge County, West Virginia",122,427,257,966,0,75,764,998
54019,"Fayette County, West Virginia",1024,1852,970,4554,29,255,3409,4826
54021,"Gilmer County, West Virginia",139,330,169,766,8,66,520,820
54023,"Grant County, West Virginia",122,529,351,1177,15,70,769,1231
54025,"Greenbrier County, West Virginia",980,1684,1364,4904,107,259,3369,5189
54027,"Hampshire County, West Virginia",462,770,677,2064,14,75,1245,2089
54029,"Hancock County, West Virginia",594,1746,919,3888,77,249,2604,4058
54031,"Hardy County, West Virginia",303,663,239,1373,5,6,853,1465
54033,"Harrison County, West Virginia",2141,4328,2012,10386,117,505,6793,10858
54035,"Jackson County, West Virginia",1013,1271,551,3412,44,185,2242,3533
54037,"Jefferson County, West Virginia",2623,4792,2605,10808,359,493,7272,11911
54039,"Kanawha County, West Virginia",6264,12699,7717,29787,406,990,19321,33388
54041,"Lewis County, West Virginia",248,738,338,1497,12,96,904,1535
54043,"Lincoln County, West Virginia",219,388,279,1217,35,51,886,1296
54045,"Logan County, West Virginia",338,947,753,2323,19,51,1377,2433
54047,"McDowell County, West Virginia",113,388,185,646,0,14,427,754
54049,"Marion County, West Virginia",1949,3348,1864,8774,97,553,5762,9079
54051,"Marshall County, West Virginia",744,1946,827,4162,0,204,2676,4273
54053,"Mason County, West Virginia",698,884,469,2226,8,68,1650,2412
54055,"Mercer County, West Virginia",1294,3261,1959,7675,30,353,5570,8575
54057,"Mineral County, West Virginia",556,980,676,2649,0,214,1606,2827
54059,"Mingo County, West Virginia",217,687,489,1578,0,4,857,1666
54061,"Monongalia County, West Virginia",5154,8524,3526,23714,454,3044,13782,26828
54063,"Monroe County, West Virginia",303,467,355,1327,13,0,870,1377
54065,"Morgan County, West Virginia",237,752,799,2216,9,88,1250,2269
54067,"Nicholas County, West Virginia",682,1220,541,2601,87,83,1590,2810
54069,"Ohio County, West Virginia",1840,3468,2195,8880,63,274,5666,9235
54071,"Pendleton County, West Virginia",95,289,260,697,0,14,426,755
54073,"Pleasants County, West Virginia",117,314,152,699,0,29,436,705
54075,"Pocahontas County, West Virginia",113,469,287,1044,24,21,693,1065
54077,"Preston County, West Virginia",935,1319,952,3645,53,160,2104,3836
54079,"Putnam County, West Virginia",2479,4674,1693,10204,76,341,6613,10654
54081,"Raleigh County, West Virginia",2041,3973,1949,9171,63,323,6271,9972
54083,"Randolph County, West Virginia",460,1318,1001,3363,49,135,1941,3431
54085,"Ritchie County, West Virginia",107,272,277,764,0,0,434,764
54087,"Roane County, West Virginia",339,379,381,1228,11,102,753,1264
54089,"Summers County, West Virginia",272,583,395,1342,45,16,820,1395
54091,"Taylor County, West Virginia",328,875,341,2074,21,54,1548,2125
54093,"Tucker County, West Virginia",200,410,236,931,0,10,559,937
54095,"Tyler County, West Virginia",198,411,218,888,0,66,597,902
54097,"Upshur County, West Virginia",489,1138,658,2765,0,56,1683,2819
54099,"Wayne County, West Virginia",1223,1617,867,4366,27,105,2674,4386
54101,"Webster County, West Virginia",65,300,139,581,0,12,290,581
54103,"Wetzel County, West Virginia",218,555,394,1365,0,70,925,1423
54105,"Wirt County, West Virginia",59,189,89,403,0,48,227,403
54107,"Wood County, West Virginia",2844,5351,2591,12862,125,320,8110,13302
54109,"Wyoming County, West Virginia",244,560,428,1425,0,55,806,1485
0400000US54,West Virginia,51837,99196,55422,244344,3253,13167,158032,261750